type_of_request,desc_level,noise_level,number_train_samples_per_class,number_test_samples,is_adversarial,seeds,test_set_slug,shot_slug,row_slug
code,none,high,1,10,True,"[0,1,2,3,4]",home,fern_01234,fern_01234-tide
code,none,high,3,10,True,"[0,1,2,3,4]",home,gentle_01234,gentle_01234-tide
open-ended,high,none,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-crest
open-ended,high,low,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-star
open-ended,high,high,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-forest
open-ended,low,none,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-lagoon
open-ended,low,low,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-quartz
open-ended,low,high,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-dawn
open-ended,none,none,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-summit
open-ended,none,low,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-aurora
open-ended,none,high,0,10,NaN,"[0,1,2,3,4]",home,frost_01234,frost_01234-valley
